,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1,0.56155044,0.335602562,0.354261158,0.142528857,0.109304156,0.237460269,0.150576107,0.204425095,0.196720399,0.470638747,0.208653337,0.262567174,0.214051113,0.249378465,0.255294312,0.108585025,0.214435229,0.155362828,0.166833422,0.23601596,0.517235218,0.212307533,0.321787925,0.149053327,0.223724705,0.429406055,0.207074374,0.108036273,0.191048664,0.304276143,0.105301211,0.18933161
2,0.250463801,0.273206725,0.051843945,0.183109399,0.124947588,0.120005354,0.179377829,0.072871752,0.195541591,0.309973108,0.430056779,0.29046929,0.11800249,0.126608094,0.13063544,0.344338195,0.170562081,0.085047954,0.121324495,0.157412275,0.403849301,0.318989857,0.17262178,0.122175898,0.209031016,0.285504141,0.1529504,0.257599457,0.493059226,0.117232768,0.064339404,0.131427424
3,0.163144202,0.46766801,0.224480584,0.141936095,0.075351176,0.087618918,0.276624246,0.11097706,0.116085927,0.145773254,0.213963429,0.064187676,0.157264066,0.32261795,0.342500677,0.163681895,0.164072498,0.250604965,0.10019719,0.288904073,0.456047775,0.262130731,0.227595895,0.213269571,0.191786276,0.563767186,0.142565995,0.114982526,0.189095862,0.388434444,0.222695277,0.143316355
4,0.064477851,0.389625573,0.251198466,0.299533768,0.219257254,0.057418772,0.117886199,0.197495282,0.18784946,0.136858332,0.191317654,0.221946341,0.108029436,0.15150919,0.190263534,0.207010985,0.193901547,0.148758639,0.106124532,0.217491924,0.515405289,0.213233553,0.126860686,0.214445221,0.194252839,0.284854939,0.091546139,0.063946372,0.17329115,0.135690491,0.161757582,0.050626576
5,0.476613671,0.318844369,0.157449935,0.14814573,0.0691216,0.167724765,0.147018949,0.163829168,0.065477204,0.227778016,0.117481272,0.158091776,0.123434964,0.440078044,0.120605068,0.239823647,0.192943488,0.180798941,0.184507173,0.23598171,0.413367606,0.420993395,0.086131391,0.136358821,0.130685489,0.212305649,0.107145902,0.087343407,0.070003482,0.129449474,0.189773841,0.457287962
6,0.17433188,0.421153865,0.077142573,0.162268706,0.048294891,0.075045596,0.114764361,0.172188165,0.274246243,0.166297178,0.115523,0.071544094,0.283476763,0.121359189,0.331522973,0.146379233,0.236698934,0.228789371,0.37112297,0.177670709,0.321273363,0.154867594,0.149204517,0.200744561,0.142725373,0.101735481,0.205994917,0.095834057,0.138950182,0.312995686,0.110714699,0.231133428
7,0.122637578,0.375696497,0.159348638,0.191696066,0.065706056,0.170146979,0.097060002,0.155917517,0.240049752,0.203831712,0.089560005,0.169860313,0.196042634,0.24697017,0.138459871,0.100053426,0.189521542,0.115231636,0.135569258,0.175898255,0.127902028,0.304706384,0.0543331,0.177840694,0.181639652,0.376449396,0.106090791,0.115032804,0.244912004,0.717599569,0.02776329,0.216514851
8,0.141870772,0.719880161,0.26205287,0.133273414,0.121939604,0.124921552,0.04983624,0.101737345,0.204918555,0.181298653,0.179214089,0.12841617,0.176084235,0.200157373,0.375221,0.308578225,0.088027818,0.16511019,0.069185344,0.197651782,0.275006032,0.147464478,0.123572281,0.186034877,0.216390355,0.244433805,0.104410798,0.086141517,0.144168319,0.234844467,0.125129042,0.342754669
9,0.310973526,0.448347432,0.129181775,0.16689528,0.103938642,0.054246296,0.045496841,0.085107269,0.151054963,0.155708829,0.120159404,0.190789342,0.256988847,0.216309387,0.129154385,0.280020692,0.187701167,0.141221208,0.082453722,0.143148989,0.385260639,0.426611559,0.11996481,0.206550761,0.115674613,0.512650124,0.142719448,0.059477953,0.207554623,0.123955452,0.078105255,0.223795321
10,0.287842763,0.565270156,0.172465062,0.195401222,0.076756699,0.166896577,0.030130642,0.1047742,0.125480904,0.132163477,0.07771453,0.119869353,0.204355347,0.218241171,0.146958861,0.229650268,0.247168647,0.325925905,0.081702051,0.198878459,0.379519661,0.241358964,0.243342192,0.139140448,0.072129196,0.264109908,0.143241304,0.100737895,0.158864083,0.243001004,0.099948095,0.331923416
11,0.637063899,0.338362007,0.261244526,0.223093119,0.029566295,0.055636303,0.084873649,0.073949554,0.106451296,0.276638904,0.110965073,0.177086722,0.208891098,0.231253215,0.266609525,0.179389342,0.179753667,0.146566634,0.133752855,0.111425095,0.309484886,0.239311578,0.095157709,0.176737709,0.112715653,0.327417668,0.136833606,0.198365747,0.155753673,0.215528824,0.098400076,0.149037752
