"map_id","subject_id","real_score","best_score","err_ratio","order_1_to_30","block_1_to_5"
1,1,9206.36563517775,7646,0.204076070517624,4,1
2,1,8554.39301147785,6476,0.320937772000904,28,5
3,1,9017.83089507812,7172,0.25736627092556,22,4
4,1,10974.3498217341,7028,0.561518187497742,25,5
5,1,8411.27691252661,6999,0.201782670742478,10,2
6,1,7707.97665774562,6866,0.122629865678069,26,5
7,1,7897.05778766671,7239,0.0909045154947792,6,1
8,1,7665.55511361747,7095,0.0804165064999959,29,5
9,1,8222.9533014654,7026,0.170360560982835,20,4
10,1,10643.4186749085,7208,0.476611913833027,16,3
11,1,9034.22924711002,6836,0.321566595539792,30,5
12,1,10315.8699372047,7115,0.449876308813029,12,2
13,1,8884.90789189748,7002,0.268910010268135,3,1
14,1,9862.60206104122,7658,0.287882222648371,18,3
15,1,8093.41732659635,7254,0.115717855885904,15,3
16,1,9075.34423502634,7047,0.287830883358357,17,3
17,1,8238.94785464548,6706,0.228593476684385,13,3
18,1,8751.87170420329,7314,0.19659170142238,9,2
19,1,7760.18573130926,6795,0.142043521899818,14,3
20,1,9032.57520985479,6890,0.310968825813467,23,4
21,1,8954.36738084796,7291,0.228139813584962,21,4
22,1,7883.74542506991,6778,0.163137418865434,7,2
23,1,9841.19115531308,7520,0.308669036610782,2,1
24,1,7893.97745543393,6780,0.164303459503529,19,4
25,1,7853.66931220014,7378,0.0644713082407347,11,2
26,1,8173.27110429516,6960,0.174320560961948,24,4
27,1,8292.56155458123,7159,0.158340767506807,1,1
28,1,9118.30425498472,7292,0.250453134254624,5,1
29,1,8446.3347698995,7397,0.141859506543126,27,5
30,1,11968.5577058489,7311,0.637061647633555,8,2
1,2,11073.8076110016,7646,0.448313838739416,12,2
2,2,9203.14952812689,6476,0.421116357030094,6,1
3,2,10059.0820710763,7172,0.402549089664843,9,2
4,2,9057.36405063235,7028,0.288754133556111,29,5
5,2,8067.64040868606,6999,0.152684727630527,30,5
6,2,8741.65604372594,6866,0.273180315136315,2,1
7,2,8915.11760741459,7239,0.231539937479568,23,4
8,2,8327.13013465772,7095,0.173661752594464,28,5
9,2,10311.5754360262,7026,0.467631004273585,1,1
10,2,9196.26279938819,7208,0.275841120891813,13,3
11,2,9148.81330929546,6836,0.338328453671073,11,2
12,2,9502.80895483405,7115,0.335602101874076,4,1
13,2,10959.7723372043,7002,0.56523455258559,26,5
14,2,10023.7304931148,7658,0.308922759612793,20,4
15,2,9568.82126423068,7254,0.319109631131883,22,4
16,2,9411.6754984752,7047,0.335557754856705,24,4
17,2,8075.44245587802,6706,0.204211520411277,18,3
18,2,10552.4268273937,7314,0.442770963548491,19,4
19,2,9903.86669801709,6795,0.457522692864914,21,4
20,2,10175.3563489994,6890,0.476829658780755,3,1
21,2,10554.6909648863,7291,0.447632830186028,17,3
22,2,8026.85805463909,6778,0.184251704726924,5,1
23,2,10345.2236323622,7520,0.375694631963055,25,5
24,2,8205.69519436959,6780,0.210279527193155,10,2
25,2,9889.94553545151,7378,0.340464290519315,7,2
26,2,8379.04244883925,6960,0.203885409315984,15,3
27,2,8611.76664825588,7159,0.202928711867004,27,5
28,2,12541.355675091,7292,0.719878726699264,16,3
29,2,10278.759689865,7397,0.389584924951335,8,2
30,2,9641.81961520951,7311,0.318809959678499,14,3
1,3,9606.20839538905,7646,0.256370441458155,2,1
2,3,8770.10866905773,6476,0.354247787068828,20,4
3,3,8182.65426654177,7172,0.140916657353844,9,2
4,3,8593.84158902629,7028,0.222800453760144,12,2
5,3,7538.76866886707,6999,0.0771208270991664,18,3
6,3,8363.03081771999,6866,0.2180353652374,5,1
7,3,7863.66243803519,7239,0.0862912609525054,11,2
8,3,9101.18614056954,7095,0.282760555400922,27,5
9,3,8603.09229296931,7026,0.22446517121681,24,4
10,3,9374.73134285216,7208,0.300600907720888,22,4
11,3,7925.13757691037,6836,0.159323811718896,15,3
12,3,8902.22708977723,7115,0.25119143918162,10,2
13,3,8105.53139048675,7002,0.157602312266031,26,5
14,3,9115.38893583373,7658,0.190309341320675,16,3
15,3,9148.92659755281,7254,0.261225061697382,6,1
16,3,8104.397176103,7047,0.150049265801476,29,5
17,3,7427.33750621756,6706,0.107565986611625,28,5
18,3,8465.43197303409,7314,0.15742848961363,21,4
19,3,7835.1934969552,6795,0.153082192340722,19,4
20,3,7247.09593373245,6890,0.0518281471309804,7,2
21,3,7800.35028568371,7291,0.0698601406780564,25,5
22,3,7946.81224932278,6778,0.172442055078604,17,3
23,3,10445.8402374642,7520,0.389074499662797,3,1
24,3,7655.71713386397,6780,0.129161819153978,30,5
25,3,9249.9549131676,7378,0.253721186387585,1,1
26,3,8178.06687641588,6960,0.175009608680442,14,3
27,3,9034.93753725758,7159,0.262039046969909,23,4
28,3,8650.88507094416,7292,0.186352862170071,4,1
29,3,8324.73738457098,7397,0.125420763089223,8,2
30,3,8655.99118363808,7311,0.183968155332797,13,3
1,4,10108.8869811742,7646,0.322114436460134,13,3
2,4,9539.52439489658,6476,0.473058121509664,15,3
3,4,8469.73955047727,7172,0.180945280323099,18,3
4,4,7971.27949559324,7028,0.134217344279061,25,5
5,4,9381.51293401453,6999,0.340407620233537,20,4
6,4,7563.41758836785,6866,0.101575529910843,14,3
7,4,8203.68045228832,7239,0.133261562686603,10,2
8,4,8279.05494099001,7095,0.166885826778014,7,2
9,4,8202.61446406518,7026,0.167465764882605,8,2
10,4,8589.60945742307,7208,0.191677227722401,21,4
11,4,8462.59461837572,6836,0.237945380101772,24,4
12,4,8901.60067134294,7115,0.251103397237237,6,1
13,4,7999.74382442915,7002,0.142494119455748,19,4
14,4,8900.52877507336,7658,0.162252386402894,16,3
15,4,8582.23166159041,7254,0.183103344580977,29,5
16,4,8672.20101575326,7047,0.230623104264689,5,1
17,4,7838.35160659457,6706,0.168856487711687,27,5
18,4,8351.92573787311,7314,0.14190945281284,26,5
19,4,8412.29825962735,6795,0.23801298890763,3,1
20,4,7910.60427937754,6890,0.148128342435057,23,4
21,4,8715.55819369329,7291,0.195385844698024,4,1
22,4,7820.57095346163,6778,0.153816900776281,2,1
23,4,9052.2942919431,7520,0.203762538822221,9,2
24,4,8292.48459203005,6780,0.223080323308267,12,2
25,4,9587.89396511497,7378,0.299524798741525,17,3
26,4,7890.24859488539,6960,0.133656407311119,28,5
27,4,8237.01325851692,7159,0.150581541907658,22,4
28,4,9058.82508254556,7292,0.242296363486775,11,2
29,4,10283.7757507973,7397,0.390263045937177,1,1
30,4,9105.06654115113,7311,0.245392769956384,30,5
1,5,8355.05467728432,7646,0.0927353750044887,14,3
2,5,7285.08132598095,6476,0.124935349904408,2,1
3,5,7420.53582051542,7172,0.0346536280696352,20,4
4,5,7235.69637695929,7028,0.0295527001934103,29,5
5,5,7482.67157316402,6999,0.0691058112821866,5,1
6,5,7543.57752756068,6866,0.0986859201224412,28,5
7,5,9230.26087126027,7239,0.275074025591969,18,3
8,5,7639.4758943719,7095,0.0767407884949826,30,5
9,5,7902.27758610365,7026,0.124719269300264,23,4
10,5,8309.76798270426,7208,0.152853493715907,8,2
11,5,7905.00739634048,6836,0.156379080798783,4,1
12,5,8578.97596831035,7115,0.205759096037997,25,5
13,5,8061.90265707253,7002,0.151371416319984,17,3
14,5,8494.96344065324,7658,0.109292692694337,27,5
15,5,8158.46384012955,7254,0.124684841484637,3,1
16,5,9518.25071940297,7047,0.350681242997441,24,4
17,5,6856.11648856093,6706,0.0223853994275167,16,3
18,5,7794.41832552489,7314,0.0656847587537449,26,5
19,5,7471.79652754099,6795,0.0996021379751274,12,2
20,5,7409.10274286447,6890,0.0753414721138569,15,3
21,5,8504.61133248563,7291,0.166453344189498,1,1
22,5,7853.27027153264,6778,0.158641232152943,10,2
23,5,8301.50931765404,7520,0.103924111390165,13,3
24,5,8098.93123489186,6780,0.194532630515024,9,2
25,5,7602.59225312678,7378,0.0304408041646487,22,4
26,5,7712.07566723058,6960,0.108056848740026,21,4
27,5,7600.95304707909,7159,0.0617339079590846,11,2
28,5,7644.04385520664,7292,0.0482780931440818,7,2
29,5,9018.7717387523,7397,0.219247227085616,19,4
30,5,8202.36069860767,7311,0.121920489482652,6,1
1,6,8946.75710019452,7646,0.170122560841553,20,4
2,6,6905.00807900272,6476,0.0662458429590369,7,2
3,6,7988.21253191161,7172,0.113805428320079,5,1
4,6,8151.501823755,7028,0.15986081726736,22,4
5,6,7612.09805249513,6999,0.0875979500635987,23,4
6,6,7725.9419181303,6866,0.125246419768467,8,2
7,6,8107.59233167611,7239,0.119987889442756,1,1
8,6,7627.30323035593,7095,0.0750251205575663,30,5
9,6,7602.81315182073,7026,0.0820969473129416,11,2
10,6,7630.46766444815,7208,0.0586109412386439,16,3
