"","map_id","subject_id","real_score","best_score","err_ratio","order_1_to_30","block_1_to_5"
"70",10,3,9374.73134285216,7208,0.300600907720888,22,1
"71",11,3,7925.13757691037,6836,0.159323811718896,15,1
"72",12,3,8902.22708977723,7115,0.25119143918162,10,1
"73",13,3,8105.53139048675,7002,0.157602312266031,26,1
"74",14,3,9115.38893583373,7658,0.190309341320675,16,1
"75",15,3,9148.92659755281,7254,0.261225061697382,6,1
"76",16,3,8104.397176103,7047,0.150049265801476,29,1
"77",17,3,7427.33750621756,6706,0.107565986611625,28,1
"78",18,3,8465.43197303409,7314,0.15742848961363,21,1
"79",19,3,7835.1934969552,6795,0.153082192340722,19,1
"80",20,3,7247.09593373245,6890,0.0518281471309804,7,1
"81",21,3,7800.35028568371,7291,0.0698601406780564,25,1
"82",22,3,7946.81224932278,6778,0.172442055078604,17,1
"83",23,3,10445.8402374642,7520,0.389074499662797,3,1
"84",24,3,7655.71713386397,6780,0.129161819153978,30,1
"85",25,3,9249.9549131676,7378,0.253721186387585,1,1
"86",26,3,8178.06687641588,6960,0.175009608680442,14,1
"87",27,3,9034.93753725758,7159,0.262039046969909,23,1
"88",28,3,8650.88507094416,7292,0.186352862170071,4,1
"89",29,3,8324.73738457098,7397,0.125420763089223,8,1
"90",30,3,8655.99118363808,7311,0.183968155332797,13,1
"91",1,4,10108.8869811742,7646,0.322114436460134,13,1
"92",2,4,9539.52439489658,6476,0.473058121509664,15,1
"93",3,4,8469.73955047727,7172,0.180945280323099,18,1
"94",4,4,7971.27949559324,7028,0.134217344279061,25,1
"95",5,4,9381.51293401453,6999,0.340407620233537,20,1
"96",6,4,7563.41758836785,6866,0.101575529910843,14,1
"97",7,4,8203.68045228832,7239,0.133261562686603,10,1
"98",8,4,8279.05494099001,7095,0.166885826778014,7,1
"99",9,4,8202.61446406518,7026,0.167465764882605,8,1
"100",10,4,8589.60945742307,7208,0.191677227722401,21,1
"101",11,4,8462.59461837572,6836,0.237945380101772,24,1
"102",12,4,8901.60067134294,7115,0.251103397237237,6,1
"103",13,4,7999.74382442915,7002,0.142494119455748,19,1
"104",14,4,8900.52877507336,7658,0.162252386402894,16,1
"105",15,4,8582.23166159041,7254,0.183103344580977,29,1
"106",16,4,8672.20101575326,7047,0.230623104264689,5,1
"107",17,4,7838.35160659457,6706,0.168856487711687,27,1
"108",18,4,8351.92573787311,7314,0.14190945281284,26,1
"109",19,4,8412.29825962735,6795,0.23801298890763,3,1
"110",20,4,7910.60427937754,6890,0.148128342435057,23,1
"111",21,4,8715.55819369329,7291,0.195385844698024,4,1
"112",22,4,7820.57095346163,6778,0.153816900776281,2,1
"113",23,4,9052.2942919431,7520,0.203762538822221,9,1
"114",24,4,8292.48459203005,6780,0.223080323308267,12,1
"115",25,4,9587.89396511497,7378,0.299524798741525,17,1
"116",26,4,7890.24859488539,6960,0.133656407311119,28,1
"117",27,4,8237.01325851692,7159,0.150581541907658,22,1
"118",28,4,9058.82508254556,7292,0.242296363486775,11,1
"119",29,4,10283.7757507973,7397,0.390263045937177,1,1
"120",30,4,9105.06654115113,7311,0.245392769956384,30,1
"121",1,5,8355.05467728432,7646,0.0927353750044887,14,1
"122",2,5,7285.08132598095,6476,0.124935349904408,2,1
"123",3,5,7420.53582051542,7172,0.0346536280696352,20,1
"124",4,5,7235.69637695929,7028,0.0295527001934103,29,1
"125",5,5,7482.67157316402,6999,0.0691058112821866,5,1
"126",6,5,7543.57752756068,6866,0.0986859201224412,28,1
"127",7,5,9230.26087126027,7239,0.275074025591969,18,1
"128",8,5,7639.4758943719,7095,0.0767407884949826,30,1
"129",9,5,7902.27758610365,7026,0.124719269300264,23,1
"130",10,5,8309.76798270426,7208,0.152853493715907,8,1
"131",11,5,7905.00739634048,6836,0.156379080798783,4,1
"132",12,5,8578.97596831035,7115,0.205759096037997,25,1
"133",13,5,8061.90265707253,7002,0.151371416319984,17,1
"134",14,5,8494.96344065324,7658,0.109292692694337,27,1
"135",15,5,8158.46384012955,7254,0.124684841484637,3,1
"136",16,5,9518.25071940297,7047,0.350681242997441,24,1
"137",17,5,6856.11648856093,6706,0.0223853994275167,16,1
"138",18,5,7794.41832552489,7314,0.0656847587537449,26,1
"139",19,5,7471.79652754099,6795,0.0996021379751274,12,1
"140",20,5,7409.10274286447,6890,0.0753414721138569,15,1
"141",21,5,8504.61133248563,7291,0.166453344189498,1,1
"142",22,5,7853.27027153264,6778,0.158641232152943,10,1
"143",23,5,8301.50931765404,7520,0.103924111390165,13,1
"144",24,5,8098.93123489186,6780,0.194532630515024,9,1
"145",25,5,7602.59225312678,7378,0.0304408041646487,22,1
"146",26,5,7712.07566723058,6960,0.108056848740026,21,1
"147",27,5,7600.95304707909,7159,0.0617339079590846,11,1
"148",28,5,7644.04385520664,7292,0.0482780931440818,7,1
"149",29,5,9018.7717387523,7397,0.219247227085616,19,1
"150",30,5,8202.36069860767,7311,0.121920489482652,6,1
"151",1,6,8946.75710019452,7646,0.170122560841553,20,1
"152",2,6,6905.00807900272,6476,0.0662458429590369,7,1
"153",3,6,7988.21253191161,7172,0.113805428320079,5,1
"154",4,6,8151.501823755,7028,0.15986081726736,22,1
"155",5,6,7612.09805249513,6999,0.0875979500635987,23,1
"156",6,6,7725.9419181303,6866,0.125246419768467,8,1
"157",7,6,8107.59233167611,7239,0.119987889442756,1,1
"158",8,6,7627.30323035593,7095,0.0750251205575663,30,1
"159",9,6,7602.81315182073,7026,0.0820969473129416,11,1
"160",10,6,7630.46766444815,7208,0.0586109412386439,16,1
"161",11,6,7206.67738119867,6836,0.0542243097130879,28,1
"162",12,6,8173.58316934829,7115,0.148781893091819,2,1
"163",13,6,8018.30731447943,7002,0.145145289128739,17,1
"164",14,6,8385.80904791455,7658,0.0950390503936472,10,1
"165",15,6,7943.61197539524,7254,0.0950664427068155,3,1
"166",16,6,8222.93184262648,7047,0.166869851373134,29,1
"167",17,6,7136.50509836094,6706,0.0641970024397472,4,1
"168",18,6,7862.99642281385,7314,0.0750610367533293,12,1
"169",19,6,7077.6630859512,6795,0.0415986881458718,26,1
"170",20,6,8526.03299712857,6890,0.237450362427949,24,1
"171",21,6,8616.78443135313,7291,0.181838490104668,21,1
"172",22,6,7166.96789282408,6778,0.057386823963423,27,1
"173",23,6,8781.08230019205,7520,0.167697114387241,15,1
"174",24,6,8051.76475073718,6780,0.187575921937637,18,1
"175",25,6,8153.1812406049,7378,0.105066581811453,9,1
"176",26,6,7542.40501997913,6960,0.0836788821809094,6,1
"177",27,6,9189.7677063557,7159,0.283666392841975,14,1
"178",28,6,7697.56428246371,7292,0.0556177019286494,19,1
"179",29,6,8461.99645151746,7397,0.143976808370618,25,1
"180",30,6,8224.1031908351,7311,0.124894431792518,13,1
"181",1,7,9856.79583962028,7646,0.289144106672807,11,1
"182",2,7,7219.12220146628,6476,0.114750185525985,13,1
"183",3,7,10559.1832394526,7172,0.472278756198079,4,1
"184",4,7,8972.0974789167,7028,0.276621724376309,22,1
"185",5,7,7347.66535668086,6999,0.049816453304881,16,1
"186",6,7,7799.30878210595,6866,0.135931951952512,2,1
"187",7,7,8120.0351997881,7239,0.121706755047396,8,1
"188",8,7,7783.51810783406,7095,0.0970427213296766,5,1
"189",9,7,10814.9732387898,7026,0.539278855506663,14,1
"190",10,7,7819.68181377364,7208,0.0848615168942348,28,1
"191",11,7,7865.13391693162,6836,0.150546213711471,10,1
"192",12,7,8474.90894215772,7115,0.191132669312399,20,1
"193",13,7,8257.92575594917,7002,0.179366717502023,6,1
"194",14,7,8006.29999667077,7658,0.0454818486120096,12,1
"195",15,7,9822.17941429413,7254,0.354036312971344,21,1
"196",16,7,8083.03309721491,7047,0.147017609935421,9,1
"197",17,7,9599.99188467106,6706,0.431552622229505,24,1
"198",18,7,9133.33423366604,7314,0.248746818931644,29,1
"199",19,7,9749.57724097705,6795,0.434816371004716,18,1
"200",20,7,7686.15335216319,6890,0.115552010473613,17,1
"201",21,7,10048.9960836603,7291,0.378274047957803,30,1
"202",22,7,7576.9079538556,6778,0.117867800804898,19,1
"203",23,7,9940.84929432048,7520,0.321921448712829,7,1
"204",24,7,7822.15610659322,6780,0.153710340205489,23,1
"205",25,7,11726.3659224378,7378,0.589369195234181,25,1
"206",26,7,8291.63993758558,6960,0.191327577239307,27,1
"207",27,7,8674.30880819287,7159,0.211664870539582,15,1
"208",28,7,7511.59647326904,7292,0.0301147110901045,26,1
"209",29,7,9212.92586145445,7397,0.245494911647215,1,1
"210",30,7,10162.6458035849,7311,0.390048666883446,3,1
"211",1,8,9283.70415706261,7646,0.214190970057888,13,1
"212",2,8,7141.44211193897,6476,0.102755113023313,9,1
"213",3,8,8543.95193800105,7172,0.191292796709572,4,1
"214",4,8,7807.93671021433,7028,0.110975627520536,12,1
"215",5,8,8363.59396357887,6999,0.194969847632358,30,1
"216",6,8,7360.20394928614,6866,0.0719784371229446,24,1
"217",7,8,7997.43159220556,7239,0.104770215804056,25,1
"218",8,8,7583.60431514026,7095,0.0688660063622629,20,1
"219",9,8,7537.95046583736,7026,0.0728651388894615,17,1
"220",10,8,8412.28746673803,7208,0.167076507594067,7,1
"221",11,8,8509.98024838736,6836,0.244877157458655,14,1
"222",12,8,8520.15944698715,7115,0.197492543497842,3,1
"223",13,8,8433.36502926541,7002,0.204422312091604,11,1
"224",14,8,8224.29153162384,7658,0.0739477058793214,6,1
"225",15,8,8150.37255501854,7254,0.12356941756528,18,1
"226",16,8,8368.57337287999,7047,0.187537018998154,26,1
"227",17,8,7276.69312370341,6706,0.085101867537043,16,1
"228",18,8,8317.93053399923,7314,0.13726148947214,10,1
"229",19,8,8185.42326285768,6795,0.204624468411726,19,1
"230",20,8,7590.9561688419,6890,0.101735293010435,28,1
"231",21,8,7674.41561078932,7291,0.0525875203386801,15,1
"232",22,8,7970.87490633558,6778,0.175992166765355,29,1
"233",23,8,8306.19187373335,7520,0.10454679171986,22,1
"234",24,8,7947.39930312159,6780,0.172182788071031,1,1
"235",25,8,8528.34466583616,7378,0.155915514480368,8,1
"236",26,8,8411.16048381065,6960,0.208500069513024,5,1
"237",27,8,8088.3364821906,7159,0.129813728480318,27,1
"238",28,8,9121.21567429631,7292,0.250852396365375,23,1
"239",29,8,8533.45489357364,7397,0.153637270998194,2,1
"240",30,8,8508.69813381435,7311,0.163821383369492,21,1
"241",1,9,8459.86452098428,7646,0.106443175645341,29,1
"242",2,9,7288.58629943674,6476,0.125476574959348,12,1
"243",3,9,8893.55768411215,7172,0.240038717807048,14,1
"244",4,9,7571.72374345629,7028,0.0773653590575255,27,1
"245",5,9,8107.79007993692,6999,0.158421214450196,21,1
"246",6,9,8240.95252710628,6866,0.200255247175397,26,1
"247",7,9,7919.00140349013,7239,0.0939358203467503,3,1
"248",8,9,8662.65712087697,7095,0.2209523778544,19,1
"249",9,9,7415.7024398742,7026,0.0554657614395383,15,1
"250",10,9,8166.86345116488,7208,0.133027670805338,2,1
"251",11,9,9317.63105700759,6836,0.363023852692742,1,1
"252",12,9,8506.27255936191,7115,0.195540767303149,18,1
"253",13,9,7871.06082046416,7002,0.124116084042296,9,1
"254",14,9,8546.90789255421,7658,0.116075723760016,8,1
"255",15,9,8349.68595475751,7254,0.151045761615317,7,1
"256",16,9,8776.09396405417,7047,0.245365966234451,4,1
"257",17,9,7238.2964496639,6706,0.0793761481753504,10,1
"258",18,9,9404.30784530473,7314,0.285795439609615,22,1
"259",19,9,8187.37083534036,6795,0.20491108687864,30,1
"260",20,9,7897.41796346729,6890,0.146214508485818,25,1
"261",21,9,7768.3898257133,7291,0.0654765911004382,13,1
