"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"20",9841.32657999121,10059.381418516,7863.82131610976,9052.4631415277,8158.58722316349,8051.94205762812,9600.03850732033,9121.24225754109,9235.69262782279,8074.20851448139,8330.51011849756,7745.1307107164,9191.31457213611,11001.8968963702,8483.32503247116,8035.31782046869,8364.64040732766,8613.59598897557,8227.78311224719,7813.06062778551,8801.72131501558,8173.09717570816,8649.1536193821,7743.15930018137,8063.27978840736,7462.4684542859,8503.83586285174,7307.71251715732,7645.27502320423,7390.53928144556,7810.67991944672,7686.25491414185,8440.70175319768
"21",8954.41795179057,8075.63724200464,9250.09114062734,7971.47865124618,8355.15799583175,8616.93820673291,10162.8529591699,8150.38056335155,7871.17752704387,8726.36167475865,7576.6911748456,7509.88903256016,10947.5855852652,9081.4435953664,7444.90517162839,8501.49196163004,8453.23765112373,8326.36705238315,7662.93975476978,9077.69872703329,9099.58027307197,9773.98001384202,8187.97359532987,7483.0878349871,9563.40296462098,8128.04111633497,8922.3504931485,7962.87328578172,8042.14715844159,10883.612071385,8021.84792551703,8863.24495905211,8614.02766595862
"22",7897.12036155277,8067.8689095817,7427.44235347982,9539.77330275633,8309.83052335392,9190.05812083935,9749.62607604708,8533.50850600773,9317.6955532846,8432.67741502678,10379.4803403068,8131.44388177743,8627.0385439634,10208.9522330957,7399.04158041216,8336.76403328041,8693.79748410035,8563.52066537207,8312.5936862146,8812.3391854909,8774.43479462684,8110.91162955783,7541.81224491771,7383.32526959819,8567.05886047076,8878.58017037075,8654.400417115,8259.80395584956,9206.72747182553,7981.02059813973,8792.88287066342,8785.22144653598,8589.58601517547
"23",8554.46841387584,9890.19993246317,8182.83748838098,8202.80531240618,8061.98347541735,7943.78805615016,8120.15294091074,7970.95400917917,9373.17084318957,9444.27856313828,7462.43359182303,7543.547749645,8834.05606809636,10596.9418542828,8177.69945035577,7848.66974014359,8419.54167545744,7085.55244412962,7689.63816752986,7974.44638401442,9045.68925457695,9014.91101842049,7695.99920719655,7710.32621983924,7454.37719523723,8990.34656898981,7604.30640635302,8277.34923997139,7861.26029156303,8802.08973754609,8755.7299754475,8400.49169494794,8343.43884283371
"24",7760.24456391318,9196.46967202808,8656.16361404018,8901.81210390306,7902.37876862918,7863.18983201075,9940.87172844541,9283.72036747778,9329.27061044077,9389.40297543802,8640.8292394589,7241.77740134511,10355.8489320212,11182.2395450226,8198.46532297166,8617.67626932747,8644.02228917794,7884.17339066014,7661.7200744161,7294.25281290285,9319.50776883711,9304.92649627829,8501.26917976419,8092.5376413857,8556.98775900298,9315.33423563836,8053.41322331627,8142.93506621032,7883.73434215413,8852.53320650898,8181.89862271794,8754.84170607225,8653.2640237974
"25",9034.30630813259,8915.38326910886,9606.42060771874,7838.48374945332,7853.36582762595,7602.99171718045,11726.5759504256,7583.61536199823,7612.76713635746,9823.19358649789,7906.53232315847,8243.28180519753,9015.48426551889,10117.8056253038,8976.07587414044,8666.06252381563,8761.66136571696,9492.95225985,8692.88773679224,10224.3672902232,9283.80604425401,9178.91802123256,8893.30464829951,7852.17994338872,8790.35802950458,9122.54066911626,9032.82986072352,7923.46925087588,7950.00139830783,8524.02004243104,7972.9643041624,7692.66729123682,8747.22731524217
"26",7894.02718222197,9569.08081328303,9115.54884526678,9059.04609062715,8504.71242551771,7726.07130848186,8674.39990947261,8363.60780382937,7238.40308761324,9033.35303983326,7759.21166035032,9128.94959924694,9738.06968692857,12167.3274920634,8651.8088068486,9506.16588928403,7395.2248877419,7690.56626549866,7093.46458989184,9073.63781124112,10377.1317174717,11093.1480898664,7544.42597950331,10014.0365266865,8290.72506200461,8908.82559374491,8767.5432885872,7706.49423396692,7928.11438197065,10479.0942926818,8161.8059585839,8330.19889547592,8780.75691299332
"27",9206.5013950719,8612.03756294116,10445.9514124332,7820.78882644076,7905.17749605539,8385.96508982624,9822.37783065501,8088.35215220712,8241.10650806937,10757.697857763,7444.77907283972,7636.5383086985,10147.7871024054,7841.09425532469,8020.9634260422,10541.7670698823,8935.74452745709,8488.19692822727,7712.74042972866,7977.30117466885,9183.18881145736,9210.74474547121,8001.11289329929,8170.27392603417,8350.62391818675,9660.34690550391,7552.94809611507,7946.11972680733,8331.50754460486,10260.8219124041,7811.20153226793,8154.17587266412,8645.81044723606
"28",8411.38489380234,9411.98282365374,8594.04143429084,8462.77369373476,9230.41063114639,7077.75772513472,8291.88365146538,8306.20508952827,7897.55034749321,8313.78904943277,8184.48887004046,9080.0153686003,11070.296619012,8783.32435551963,8661.97064399915,8418.97871880979,9407.8796631713,8847.3365688305,7850.16714359002,8815.78790000329,8813.03147313651,10424.7783330285,7894.80221742866,8314.4468666252,7839.42692027142,8254.77983042978,8133.40207595129,7369.25728950773,7874.43831275523,8894.45081936804,8484.36430668853,8533.41127510847,8560.89421598619
"29",8292.66682320109,8327.36975374341,9101.31286538998,10109.0911640996,7471.87259809973,8153.35260832218,9857.02050552248,7141.45347447494,8107.87966399906,10814.6006048538,8029.05328123787,7431.3270136946,10189.3255186511,9390.46069760354,8773.46866006259,11612.5876373518,9254.97317630317,8646.70586788395,8202.86944006521,8403.96310937982,9122.42579139578,9279.68269330264,8063.03939893366,8126.69620408594,9096.69960576186,9131.76876992507,7860.75416213571,7953.14706856585,7769.04876833179,10722.9611018082,8381.10048652354,8272.47738159117,8784.09862175941
